No.	歌仙貝名	貝名	レア度	出典	読人	歌
1	すだれ貝	サツマアカガイ	3	山下集	西行法師	なみかかる　吹上の濱の　すだれ貝　風もぞおろす　いそぎひろはん
2	忘れ貝	マツヤマワスレ	1	夫木抄	順徳院	みつのはま　いそこす波の　わすれ貝　わすれずみする　松かねの声
3	梅の花貝	ヤヘウメ	3	新後拾遺集	俊頼	春風に　波やおりけん　みちのくの　まがきがしまの　梅のはな貝
4	花貝	チヨノハナガイ	1	夫木抄	読人不知	えだながら　うづまく波の　おらねばや　ちりぢりよする　ちよのはながい
5	さくら貝	サクラガイ	1	拾遺愚草	定家	伊勢のうみ　なみの玉よる　さくらがい　かひあるうらの　はなの色かな
6	ますほ貝	ベニガイ	1	山家集	西行法師	しほそむる　ますうの小貝　拾ふとて　いろのはまとは　いふにやあるらん
7	紫貝	フジナミガイ	2	夫木抄	読人不知	むらさきの　貝よるうらの　ふじがたは　なみのかへるぞ　はなと見へける
8	白貝	カガミガイ	1	名寄	読人不知	はるばると　しららのはまの　しら貝は　なつさえふれる　雪かとぞ見る
9	なでしこ貝	チリボタン	1	夫木抄	西行法師	ちりほしむ　なでしこ貝に　しくいろは　やまとからにも　あらじとぞ思ふ
10	波間柏貝	ナミハガシハ	1		定塚	難波女が　なみまがしわを　とるほどに　日もくれ袖に　月ぞやどれる
11	きぬた貝	キヌタアゲマキ	2		作者不詳	契りおきし　衣のうらの　あきふけて　うてぬきぬたの　かひもなかりき
12	枕貝	オキナガイ	3	和訓栞	大江広重	ふねとむる　磯のなみぢの　まくらがい　かいある夢に　あはざらめやは
13	にしき貝	ナデシコガイ	1		三条院	こきまぜに　色をつくして　よる貝は　にしきの浦と　みゆるなりけり
14	いろ貝	ヒバリガイ	1	末木抄	読人不知	いろいろの　かいありてこそ　ひろはめれ　ちくさの浜の　あまがまにまに
15	ほら貝	オウウヤウラク／イソバセウ	3	夫木抄	寂蓮法	山ぶしの　ほらふく峰の　夕ぐれに　そこともしらめ　すずの上風
16	都貝	マツムシ	2	夫木抄	伎女河菰	ともすれば　こひしきかたの　名におへる　みやこの貝をぞ　まづひろいぬる
17	うらうづ貝	ウラウツガイ	2	夫木抄	敦忠	田鶴さわぐ　あしのもとはを　かきわけて　うらうづ貝を　ひろいつるかな
18	さたべ貝	サザエ	2	山家集	西行法師	さたべすむ　せとのいわつぼ　求出て　いそしきあまの　けしきなるかな
19	千鳥貝	スズキガイ	3	新古今集	後白河院	はまちどり　ふみおくあとの　つもりなば　かひあるうらに　あわざらめやは
20	雀貝	キクスズメ	1	夫木抄	大江広重	波よする　竹のとまりの　すずめ貝　うれしき世にも　あひにけるかな
21	いたや貝	イタヤガイ	1	新撰六帖	信実	あやしくも　うらめづらしき　いたや貝　とまふくあまの　ならひならずや
22	あこや貝	カキ	3	山家集	西行法師	あやことる　ゐ貝のからを　つみおきて　たからのあとを　見するなりけり
23	あわび貝	アワビノトコブシ	2	浦錦	千首牡丹花	なべて世の　こひ路にいかで　うつしけん　あわびのかいの　おのがおもひを
24	かたし貝	ユキノカサ	2	後花園院宸百首		我袖は　いつかひかたの　かたし貝　あふてふことも　なみにしほれて
25	うつせ貝	キセワタ	3	続後撰集	好忠	なみのうつ　みしまのうらの　うつせがい　むなしきからに　われやなるなん
26	みなし貝	アカテツボ	2	末木抄	光台院入道 二品親王	かみ島の　いそまのうらに　よる貝の　身はいたづらに　なりはてぬはた
27	あさり貝	ヒメアサリ	1	新撰六帖	光俊	いせのうらの　しほひにあさり　もとめたる　かいをそたもつ　身をばすてつつ
28	しお貝	フジノハナガイ	1		師兼	いせのうみの　うらのしほがい　ひらひてふ　あまちに袖の　ぬれてかわかぬ
29	ものあい貝	モノアラガイ	3	続松葉集	宗恵	たのもしな　ものあら貝の　つきぬべき　法の蓮の　うらにすむ身は
30	かたつ貝	ネコガイ	3	海道記	源光行	たのみつる　人はなぎさの　かたつがい　あわぬにつけて　身をぞうらむる
31	あし貝	バカガイ	1	浦錦	津守国冬	海ばらや　なみにゆらゆゆ　あし貝の　かひある国と　なれるかしこさ
32	みぞ貝	ミゾガイ	1	夫木抄	俊頼	江の浜に　みぞ貝ひろう　うない子が　たわぶれにたに　とふ人もなし
33	蛤貝	ハマグリ	1	山家集	西行法師	今ぞしる　ふたみのうらの　はまぐりを　貝あわせとぞ　おもふなりけり
34	しじみ貝	シジミ	1		為尹卿	しじみとる　かたたのうらの　あま人よ　こまかにいはば　かいぞ有べき
35	小貝	ツノガイ・ナワガイ・クグガラ・オダマキ・アミガイ5種	2	夫木抄	源師光	いせのうみ　きよきなぎさに　駒とめて　都のつとに　小がいひろはん
36	千種貝	テグサガイ	2	夫木抄	読人不知	君が代の　ためしと見ゆる　長はまに　千種のかいの　かずもつきせじ
